id	anchor	morphology_status	lookup	source_status
7532	ch00ffff	wiktionary-page-missing	exact+capitalized	no-english-definition
7632	roberto	wiktionary-page-missing	exact+capitalized	no-english-definition
7685	yeah.	wiktionary-page-missing	exact+capitalized	no-english-definition
7798	what-	wiktionary-page-missing	exact+capitalized	no-english-definition
7801	ha-ha-ha	wiktionary-page-missing	exact+capitalized	no-english-definition
7824	'm-	wiktionary-page-missing	exact	no-english-definition
7852	was-	english-section-missing	exact+capitalized	no-english-definition
7864	nypd	wiktionary-page-missing	exact+capitalized	no-english-definition
7903	'know	wiktionary-page-missing	exact	no-english-definition
7981	i--i	wiktionary-page-missing	exact+capitalized	no-english-definition
8008	like-	wiktionary-page-missing	exact+capitalized	no-english-definition
8081	philippe	wiktionary-page-missing	exact+capitalized	no-english-definition
8082	workin	wiktionary-page-missing	exact+capitalized	no-english-definition
8090	je	english-section-missing	exact+capitalized	no-english-definition
8114	ifyou	wiktionary-page-missing	exact+capitalized	no-english-definition
8153	yes.	wiktionary-page-missing	exact+capitalized	no-english-definition
8215	iet	english-section-missing	exact+capitalized	no-english-definition
8262	ohhh	english-section-missing	exact+capitalized	no-english-definition
8268	so-	english-section-missing	exact+capitalized	no-english-definition
8292	'm-i	wiktionary-page-missing	exact	no-english-definition
8352	bbc	english-section-missing	exact+capitalized	no-english-definition
8428	feelin	wiktionary-page-missing	exact+capitalized	no-english-definition
8448	and-and	wiktionary-page-missing	exact+capitalized	no-english-definition
8450	mccoy	wiktionary-page-missing	exact+capitalized	no-english-definition
8473	yοu	wiktionary-page-missing	exact+capitalized	no-english-definition
8507	nder	english-section-missing	exact+capitalized	no-english-definition
8532	o.r.	wiktionary-page-missing	exact+capitalized	no-english-definition
8535	iove	wiktionary-page-missing	exact+capitalized	no-english-definition
8576	jj	english-section-missing	exact+capitalized	no-english-definition
8617	'brien	wiktionary-page-missing	exact	no-english-definition
8688	'he	wiktionary-page-missing	exact	no-english-definition
8844	you.	wiktionary-page-missing	exact+capitalized	no-english-definition
8852	j.r.	wiktionary-page-missing	exact+capitalized	no-english-definition
8893	'in	wiktionary-page-missing	exact	no-english-definition
8920	w-what	wiktionary-page-missing	exact+capitalized	no-english-definition
8949	nköö	wiktionary-page-missing	exact+capitalized	no-english-definition
8950	you-you	english-section-missing	exact+capitalized	no-english-definition
9062	buenos	english-section-missing	exact+capitalized	no-english-definition
9184	not-	wiktionary-page-missing	exact+capitalized	no-english-definition
9223	runnin	wiktionary-page-missing	exact+capitalized	no-english-definition
9272	know.	wiktionary-page-missing	exact+capitalized	no-english-definition
9285	jarod	wiktionary-page-missing	exact+capitalized	no-english-definition
9306	'neill	wiktionary-page-missing	exact	no-english-definition
9311	cctv	wiktionary-page-missing	exact+capitalized	no-english-definition
9313	darlin	wiktionary-page-missing	exact+capitalized	no-english-definition
9345	'this	wiktionary-page-missing	exact	no-english-definition
9404	por	english-section-missing	exact+capitalized	no-english-definition
9419	'that	wiktionary-page-missing	exact	no-english-definition
9488	right.	wiktionary-page-missing	exact+capitalized	no-english-definition
9517	wh-what	wiktionary-page-missing	exact+capitalized	no-english-definition
9526	it`s	wiktionary-page-missing	exact+capitalized	no-english-definition
9567	'oh	wiktionary-page-missing	exact	no-english-definition
9587	'to	english-section-missing	exact	no-english-definition
9631	h.	english-section-missing	exact+capitalized	no-english-definition
9673	'est	wiktionary-page-missing	exact	no-english-definition
9810	ncis	wiktionary-page-missing	exact+capitalized	no-english-definition
9923	tο	wiktionary-page-missing	exact+capitalized	no-english-definition
9928	lapd	wiktionary-page-missing	exact+capitalized	no-english-definition
9965	waitin	wiktionary-page-missing	exact+capitalized	no-english-definition
