stable_id	legacy_alias	canonical_label	upstream_rank	frequency	wiktionary_page	wiktionary_revision	timestamp	section	english_section_sha256	definition
2054	'clock	diabetes	10020	2501	61586	90771414	2026-05-13T17:20:57Z	Noun	b6e14b1e3f7dc97e5bc0d5cf1f8be40bdf7528fa1673b5e2d8a67726b2de0abb	{{senseid|en|Q12206}}{{lb|en|disease}} [[diabetes mellitus|Diabetes mellitus]]; any of a group of [[metabolic]] [[disease]]s whereby a person (or other animal) has high [[blood sugar]] due to an inability to produce, or inability to metabolize, sufficient quantities of the [[hormone]] [[insulin]]. {{defdate|from 19th c.}}
2509	mustn	alternate	10021	2500	41197	91124038	2026-06-07T22:34:40Z	Adjective	dbf571619bfd99432e2fd1a63adcb988f5a5077e5b701ce7a974c959cf9d6910	Happening by turns; one following the other in [[succession]] of time or place; first one and then the other (repeatedly).
2831	'you	diversion	10022	2499	41304	91125278	2026-06-07T23:08:19Z	Noun	045d068a949db23bf759c6d5b3b6d1fd2f4cbfd8cce4fe389e88b6d3905ed92a	{{lb|en|military}} A [[tactic]] used to draw [[attention]] away from the real threat or action.
2897	you-	effectively	10023	2498	87006	90339262	2026-04-26T03:46:00Z	Adverb	1cdacbee133b6b7bda425d06e1ad8910b91fdd9b6e0db18faaca5d8c8f6961d1	In an efficient or [[effective]] manner; with powerful [[effect]].
3178	chffffff	dedication	10024	2498	61525	89273592	2026-01-20T09:43:11Z	Noun	fb772cac9cb30a5aa157554189acfcd0cb1818db152ff29c0a46728df24ddced	{{senseid|en|act of dedicating or state of being dedicated}} {{lb|en|uncountable}} The act of [[dedicate|dedicating]] or the state of being [[dedicated]].
3217	just-	wager	10025	2498	62881	91627195	2026-07-16T18:32:45Z	Noun	16ff36b68846f6e5e986516fa9b8e621a55885e76b551712392558121468d5dd	A [[bet]]; a [[stake]]; a [[pledge]].
3234	somethin	smelly	10029	2497	56957	91084001	2026-06-05T11:24:49Z	Adjective	433da0afefebcc980561dfebbe1d518710b9c7e160e3d67d0765bfb69357f966	Having a bad [[smell]].
3777	's-	trench	10031	2496	41399	90929527	2026-05-24T17:27:30Z	Noun	69f52d3c7ca3e81835bec42920c96a26d7be74f4b17306a1013094b0d1fd73da	A long, narrow [[ditch]] or [[hole]] in the ground; either manmade, or formed naturally through erosion or [[tectonic plate]] movement.
3779	'the	cameraman	10032	2495	462427	91225218	2026-06-14T22:19:47Z	Noun	f04369e0007fc14cf41da1d5ba68102d43032a736f55c975487e25dfaff85320	Somebody who operates a [[movie]] [[camera]] or [[television]] camera.
3797	'and	batter	10038	2493	38354	91526903	2026-07-07T20:30:02Z	Verb	74de17e61b7d776c34b73f10f84307bc4de52ed1bfe61d5dda817afb2694e31d	To [[hit]] or [[strike]] [[violently]] and [[repeatedly]].
3923	von	dye	10039	2493	4691	91343133	2026-06-20T20:12:34Z	Noun	69fa87b407e87ddb2eafc4a1ae851c43b90926dbf99d99da1ac32d95dc2be771	{{topic|en|Art|Liquids}}A [[colorant]], especially one that has an [[affinity]] to the [[substrate]] to which it is applied.
4318	uh-	abduction	10040	2493	338	90497295	2026-05-05T08:30:30Z	Noun	83e802a4380bf45e3ece5e4587f92123b49d46b3a2c907e858d87be29b6226e0	A [[leading]] away; a [[carry]]ing away. {{defdate|from early 17<sup>th</sup> century.}}<ref name=SOED>{{R:SOED5|page=3}}</ref>
4321	iike	prospect	10041	2493	306284	91419555	2026-06-29T19:31:06Z	Noun	fc6cb2fac7506529c1aeff8d2803a26919183a12e8f840603e2f28cef3e4a6e0	The [[region]] which the [[eye]] [[overlook]]s at one [[time]]; a view; a scene; an outlook.
4514	mmm-hmm	alma	10045	2492	40387	91612254	2026-07-15T00:27:05Z	Noun	30515677e2f49fce1cadc4cd7977ce1f3cfca2df4acd1f02c1f83388a1628bc8	An [[Egyptian]] [[female]] [[singer]] or [[dancing girl]] [[employed]] for [[entertainment]] or as a [[professional]] [[mourner]].
4560	't-	manslaughter	10046	2492	80430	89795173	2026-03-09T18:26:06Z	Noun	51dc4c51e661b45c7b1e0f287b740fee6bcc2a25c5e19236844781aece0daffe	{{lb|en|obsolete}} The [[slaying]] of a human being.
4885	and-	remedy	10047	2492	88974	91533055	2026-07-08T13:36:31Z	Noun	f157a1c1b77287f683ca4816ac9da443ffa787361804dec59a14a666d040be0f	Something that [[correct]]s or [[counteract]]s.
5019	yöu	damp	10048	2492	22890	91526511	2026-07-07T19:42:24Z	Adjective	e9ad9e69d67fca28a2a5e1e86187038b1f1d46765e89bded4de3e63c6d733bce	In a state between dry and wet; {{l|en|moderately}} {{l|en|wet}}; {{l|en|moist}}.
5073	tae	thigh	10049	2491	54670	91604109	2026-07-14T15:31:45Z	Noun	fd72a17e96b539dac91bb8578be4e829db7f564dd3ed2779c9827bf06187e429	The upper [[leg]] of a human, between the [[hip]] and the [[knee]]. {{defdate|from 8th c.}}
5120	that-	cologne	10050	2491	174011	91065122	2026-06-03T11:57:12Z	Noun	ffacfd84761183671bd583d9ef723ad6ad266fc4728d43bcf020904f38ec6def	A type of [[perfume]] consisting of 2–5% [[essential oil]]s, 70–90% alcohol and water.
5335	tryin	accusation	10051	2491	2943	90969489	2026-05-28T16:51:16Z	Noun	cf4650aeb9faac62cdb98a5e19e5974e55ed3db75829cdf5f73beea3e8b61bfe	The act of [[accusing]].
5867	it-	outsider	10052	2491	193695	91372772	2026-06-24T11:30:24Z	Noun	8c1c0dda12877e3360b95b29a690762713bac185821191b8d9c496be52a4cf51	One who is not part of a [[community]] or [[organization]].
5960	mcgee	serum	10053	2490	60897	91220271	2026-06-14T20:52:04Z	Noun	ea6fbd9cc4d1c22113912cd5b416a572a3fe66324bcf008b12f2854837a9ea2a	{{senseid|en|blood serum used as a blood product, in medicine}} [[blood serum|Blood serum]] used as a [[w:blood product|blood product]], in the practice of [[medicine]]: blood serum from the tissues of [[immunize]]d animals (human or nonhuman), containing [[antibody|antibodies]] and used to transfer [[immunity]] to another individual (human or nonhuman).
6053	'but	oral	10056	2489	5663	91548864	2026-07-09T22:54:03Z	Adjective	4347d97371acf6ec4f10204edaf8e2434e5e89ba24255d6726e6f199cb8cb2b8	{{lb|en|relational}} Relating to the [[mouth]].
6111	needn	shades	10057	2489	54022	90282679	2026-04-19T21:48:04Z	Noun	a3c5dcca2159f1064fb20fe03a611ace07e18ceaefc29ffdb464b75023f28b67	{{lb|en|colloquial}} [[sunglasses|Sunglasses]].
6164	sayin	woe	10058	2489	61116	91611605	2026-07-14T22:46:38Z	Noun	1fd9126eb12ad82eaf4ce75c939cc82274d39d63df5a71904e6799cc4e2aa26a	Great [[sadness]] or distress; a misfortune causing such sadness.
6210	i-i-i	alias	10061	2488	41118	91541467	2026-07-09T10:41:36Z	Adverb	e25d1442eae86b230e23727697a43dfb23e8bdae1756e680a2e181537690ad20	[[otherwise|Otherwise]]; at another time; in other [[circumstances]]; otherwise called; [[also known as]]; [[formerly known as]].
6331	eun	apron	10063	2487	34448	91560284	2026-07-10T18:32:40Z	Noun	bd24bc0fc11ef6833cd5e0a1fb558e286f4a8cd5fcc33a247ea7bdf784128700	{{senseid|en|front clothing}} An article of [[clothing]] worn over the front of the [[torso]] and/or [[legs]] for protection from [[spill]]s; also historically worn by [[Freemason]]s and as part of women's fashion.
6404	me-	vein	10065	2485	8561	91608579	2026-07-14T20:26:16Z	Noun	5bec90915251ddd195b440ac5999bcde9afef5ce7ee9c10bad95069f7bc2933f	{{senseid|en|Q9609}}{{lb|en|anatomy}} A [[blood vessel]] that transports [[blood]] from the [[capillary|capillaries]] back to the [[heart]].
6431	don`t	tonic	10066	2485	68273	91579641	2026-07-12T17:20:45Z	Adjective	4bf1bb19e390afbb24897368c88830689bc1c676f91a4ea6bc3d2ba284262316	{{lb|en|physics|pathology}} Pertaining to [[tension]], especially of the [[muscle]]s.
6456	ofthe	dim	10068	2484	69136	91637518	2026-07-17T20:49:15Z	Adjective	77fe0080c778d7215756f67a41ef772e772c8e115e2917cac45c265ab5b0da99	Not [[bright]] or colorful.
6488	joon	steep	10069	2484	62674	91573580	2026-07-12T00:09:15Z	Adjective	a6d47fd27f0ea2ae7fa137aa6693c4f20c3fd1222327d6420bdd5a99fcd51b09	Of a near-vertical [[gradient]]; of a [[slope]], [[surface]], [[curve]], etc. that proceeds [[upward]] or [[downward]] at an angle [[approaching]] vertical.
6895	thinkin	sod	10070	2484	60937	91497985	2026-07-06T02:17:43Z	Noun	9d96b8af09500c418c4022ebe275b9a6596ac2303a5c9e6c1cfec68e6b2e7236	{{lb|en|uncountable}} The [[stratum]] of the surface of the soil which is filled with the roots of grass, or any portion of that surface; [[turf]]; [[sward]].
6901	y-you	cub	10073	2483	1540887	91328536	2026-06-19T07:54:47Z	Noun	b7c47c5a70063761740255b518e57adead234ee314f347cfb51a787e8b9323bc	The [[young]] of certain animals, chiefly large carnivorous mammals, including the [[bear]], [[wolf]], [[fox]], [[lion]] and [[tiger]].
7025	wh	eyewitness	10075	2481	208186	91619483	2026-07-15T19:49:39Z	Noun	77c44c2f76f4b8f4c7405bb87698f213da48dec66cad32f80c749e2e5ee98654	Someone who [[see]]s an [[event]] and can [[report]] or [[testify]] about it. {{century|16}}
7048	aaah	flattering	10076	2480	195626	85505941	2025-07-10T10:41:08Z	Adjective	653328520c9cc8d4af6dcc0b4490b730fe5c1924cbf92652e646972ba84fe630	[[attractive|Attractive]] or [[good-looking]]; that makes one look good.
7341	ahhh	overdose	10077	2479	91855	90673487	2026-05-10T21:23:21Z	Noun	7ebe848eff48f02be7506d00a3afa5f9d42c1bc36d14b330858ec71d166dbcc8	An [[excessive]] and dangerous [[dose]] of a [[drug]].
7350	iot	automobile	10082	2476	39231	90955406	2026-05-27T05:34:39Z	Noun	b6886a70f609573df307fd96ef825b31b2568c0589552fe771e8ea7a3c6236c9	{{senseid|en|Q1420}} {{lb|en|US|Canada|Philippines|AU|NZ}} A type of [[motor vehicle]] designed to move on the ground under its own stored power and intended to carry a [[driver]], a small number of additional [[passenger]]s, and a very limited amount of other load.<!-- In contrast to a [[truck]], an automobile is not designed to primarily carry [[cargo]]. An automobile may be powered by various means, such as an [[engine]], [[battery]] and [[motor]], some combination of the two, etc.-->
7370	this-	loo	10084	2475	38382	91312298	2026-06-17T16:14:35Z	Noun	56b15c40af0bacce1d5499db2fd73aa236062028a3b1f743abb81d9cded5ea6b	{{lb|en|UK|Irish|Commonwealth}} A [[lavatory]]: a [[room]] [[use]]d for [[urination]] and [[defecation]].
7403	'we	bullied	10086	2474	606808	83255645	2025-01-02T01:22:21Z	Adjective	dd3b072e80471515000349a78f92743bf66371eeace182092f55ce9a8c8dae42	Having been a victim of a [[bully]].
7489	know-	kidnapper	10090	2473	84985	90673216	2026-05-10T21:18:29Z	Noun	90ea1779767471b5defa28231353d3e4f376171309f0c87bfb03b9779d2947c6	A person who [[kidnap]]s someone.
7532	ch00ffff	dispose	10091	2473	48540	91494139	2026-07-05T23:28:33Z	Verb	9667a2910f81a381275306868c8312285be123a836650032d2400c18b1a20a9a	{{lb|en|intransitive|with ''[[of]]''}} To [[eliminate]] or to [[get rid of]] something.
7632	roberto	margarita	10092	2473	76317	91603411	2026-07-14T13:23:18Z	Noun	aaea129af866db35adb0fba772667eff8a89a63fe88ec0cbc509a237a11bb3ca	A [[cocktail]] made with [[tequila]], an [[orange]]-flavoured [[liqueur]], and [[lemon]] or [[lime]] juice, often served with [[salt]] encrusted on the [[rim]] of the [[glass]].
7685	yeah.	hash	10093	2472	34016	91212605	2026-06-14T02:35:03Z	Noun	88823cd831f6f71c78b6a80a943decf7336c036c3d1ad443f4145e0217198b62	[[food|Food]], especially meat and potatoes, [[chop]]ped and [[mix]]ed together. [[Image:Corn-beef-hash.jpg|thumb|corn-beef hash]]
7798	what-	grieving	10094	2472	243683	89837108	2026-03-13T10:01:49Z	Adjective	4fe8c7312a99770467848e2bd0576cc6b620ede805159ba9e05789525b59b8f3	[[feeling|Feeling]] or [[showing]] [[sorrow]] or [[distress]] due to [[loss]], [[especially]] the [[death]] of someone.
7801	ha-ha-ha	initials	10095	2472	322194	87395723	2025-10-11T17:46:19Z	Noun	bd01c577f9dde0d9d866e8156c2bc7f85deef761373f08d0dee9316398eb49ea	An abbreviation of a person's name, constructed by taking the initial letters of first, last, and sometimes middle name(s). See [[monogram]]
7824	'm-	hound	10096	2470	36565	90464037	2026-05-03T21:45:48Z	Noun	fa1479cf772fe32f05781f72fc0125986d99864c75c9169b6089e5581e9fa48b	A [[dog]], particularly a [[breed]] with a good sense of [[smell]] developed for [[hunt]]ing other animals.
7852	was-	boogie	10097	2470	71877	87418196	2025-10-13T04:58:48Z	Noun	022712f8aeba383c9af6cd2630173361b90e5d9bb678b23572065413113b4104	{{lb|en|informal|US}} A piece of [[solid]] or [[semisolid]] [[mucus]] in or removed from the [[nostril]] [[cavity]].
7864	nypd	perp	10099	2469	50842	90800030	2026-05-15T14:03:08Z	Noun	5727ef65e0cc44deddf323457fcc6fb4468b52359cfa2b0a97a7608925442ccd	{{lb|en|slang|law enforcement}} A [[perpetrator]].
7903	'know	cloak	10100	2469	59230	91450568	2026-07-02T08:59:10Z	Noun	6e1ae99b40017b21a5e085521817140f06f09bf0c51f55a1db589d2f5687a732	A long outer garment worn over the shoulders covering the back; a [[cape]], often with a hood.
7981	i--i	crabs	10101	2468	253728	86785679	2025-09-15T23:58:53Z	Noun	9144898540f9fe95cd384ca6e528cc8fc1480095ba0c26f4c2db6fdb597dabc8	{{lb|en|gambling|slang}} A dice roll of two [[ace]]s.
8008	like-	pastry	10102	2468	79447	91388378	2026-06-26T07:43:53Z	Noun	5ab9902bc177a894c2e2e8cfc1151a73c8d44b536dc53e46ede65b9b1eb9bcd8	{{senseid|en|Q477248}}{{lb|en|countable}} A [[baked]] food item  made from [[flour]] and fat pastes such as pie crust; also [[tart]]s, [[bear claw]]s, [[napoleon]]s, [[puff pastries]], etc.
8081	philippe	successor	10103	2467	88347	91214551	2026-06-14T09:09:42Z	Noun	4e03ba2e4dfde248b81fa66f3a0b99401ef1a91332c1db5ad4165fdb2b0a72ca	A person or thing that [[immediately]] follows another in holding an [[office]] or [[title]].
8082	workin	hola	10104	2467	39798	91540050	2026-07-09T07:32:48Z	Interjection	218eb64c3b7d6ba2a851d989947c3748121741e376c47adf1aa488483de29865	{{lb|en|informal}} {{cap|hello}}, [[hi]], [[hey]].
8090	je	cheerleader	10106	2466	189896	91379361	2026-06-25T06:57:17Z	Noun	0fbfea12b60783d8a8a2ee54d4587bfa3a44a863f81582b71ffa4f5181cf7193	{{lb|en|chiefly|US}} A person, usually a young, attractive female, who [[encourage]]s [[applause]] and [[cheer]]s at a [[sport]]s [[event]], and wearing a specially-designed [[uniform]] in the official colors of the team he/she cheers for.
8114	ifyou	slips	10107	2466	227421	88519056	2025-12-11T04:20:47Z	Noun	1c10a2db7769218f2f9082fac7f640bc71398193614378c9741f44d6155576d7	{{lb|en|cricket}} the area of the [[field]] covered by [[fielder]]s in the slip [[position]]s; the slip fielders collectively
8153	yes.	macho	10110	2464	60589	91350325	2026-06-21T15:04:29Z	Adjective	6d4a5207fe6f63698af4de0d3b9f246e03857d676f347f45228d0402d7dd60dd	{{lb|en|informal}} Masculine in an overly assertive or aggressive way. Very [[masculine]].
8215	iet	stunned	10111	2464	248384	90583338	2026-05-09T17:31:35Z	Adjective	1ef9893326fcd1a05274736c71acf7c5de8c235f37ac5d67a856e96a9f121955	Unable to [[act]] or [[respond]]; [[dazed]]; [[shocked]].
8262	ohhh	fuller	10112	2463	75489	89631142	2026-02-20T20:17:20Z	Noun	1b089961697655d304913d7886c57cedc3e90d61e1cf30068ca0b929ca1a9b50	One who [[full#Etymology 4|full]]s [[cloth]].
8268	so-	mornings	10113	2463	322661	88489635	2025-12-11T01:09:54Z	Adverb	c01dfe3c2a6f314e42aa0e8926d705394d7b5af03b1e9d230ec60d97d86ae869	Every morning.
8292	'm-i	accidental	10114	2461	1250	91246582	2026-06-15T01:59:08Z	Adjective	89b944781b51c421c7d42b3a446e04ed978a7ca8e4860fbda53498513857dd29	{{senseid|en|versus the essence}} Pertaining to {{l|en|accident|id=philosophical sense, versus essence or substance}} and not {{l|en|essence}}; thus, [[inessential]]; [[incidental]]; [[secondary]]. {{defdate|from 14th c.}}
8352	bbc	convey	10116	2461	84333	91219509	2026-06-14T20:29:17Z	Verb	934b73fadc6e6327dbfdad61a63dfb198f3d5f4b1a9e5dc6ef7d699334ddbfa0	To [[move]] (something) from one place to another.
8428	feelin	prototype	10117	2461	36745	91481077	2026-07-05T02:15:14Z	Noun	7b8a9890064616528c60de5298d14f16dc40f3cb3ac23868453ebf69f27f90b6	An [[original#Adjective|original]] [[form#Noun|form]] or [[object#Noun|object]] which is a [[basis]] for other forms or objects (particularly [[manufactured#Adjective|manufactured]] [[item]]s), or for its [[generalization]]s and [[model#Noun|models]]. {{defdate|from late 16th c.}}
8448	and-and	fling	10120	2460	6890	91516285	2026-07-07T07:16:55Z	Noun	89d8b3114782ccd42606fdb510cc0711dec958717a86900e7304ea397d9054b7	An act of [[throw]]ing, often violently.
8450	mccoy	cupcake	10124	2459	177617	91248190	2026-06-15T02:22:24Z	Noun	eecc95f6b0b0aa77737b250ea52aace7eb814c835334f68ea68e0103ec8d3c3e	A small cake baked in a usually paper container shaped like a cup, often with [[icing]] on top.
8473	yοu	warsaw	10126	2459	3688820	84092091	2025-03-03T12:15:08Z	Noun	6f78ba2ea4a172c2efc6192ff94b0047b86a3605ed3dcdb57859b849c576b53b	Any of several species of [[grouper]], subfamily {{taxfmt|Epinephelinae|subfamily}}
8507	nder	uptight	10130	2456	64698	87326712	2025-10-08T02:22:54Z	Adjective	5f23be3b8444e30a7fa28f408715bd5f516c62a25132b0910cfd36ba26ce8023	{{lb|en|colloquial}} Excessively concerned with rules and order, always serious.
8532	o.r.	inclined	10131	2456	185613	90673737	2026-05-10T21:27:13Z	Adjective	018031962074d7373ef68652a484d54923c1bca63a3b503baebeaf5458a92510	At an [[angle]] to the [[horizontal]]; [[slanted]] or [[sloped]].
8535	iove	stockings	10132	2455	270086	84407626	2025-03-29T05:59:04Z	Noun	479912581b95aaa0402be3991d68f7e905bce8247baaa0cbcf2ac7054c3de5f0	{{lb|en|Philippines|Australia|New Zealand|plural only}} [[pantyhose]]
8576	jj	scrooge	10133	2455	104296	89637008	2026-02-21T06:00:38Z	Noun	010003ff293f45424a04b53ecb10f786d5bc6cc9d8fe0153947186abb7eff31f	A [[miserly]] person; a person with an excessive dislike of spending money or other resources.
8617	'brien	fingerprint	10134	2454	44556	91039776	2026-06-01T20:13:31Z	Noun	06ba595e798c950c76d1ca2f87fd05c8369f41aaf8ee2ef389f9a27dc44c7478	{{senseid|en|Q178022}} The [[natural]] [[pattern]] of [[ridge]]s on the tips of human [[finger]]s, unique to each individual.
8688	'he	sensational	10136	2454	226662	90579228	2026-05-09T16:26:42Z	Adjective	6b882e65f2ff5697c3d60af6841667d143858840492f79e7a392dcab8c553147	Of or pertaining to [[sensation]].
8844	you.	jockey	10137	2453	239775	91019908	2026-05-31T21:13:38Z	Noun	f37626cc4b89b0b7648df4ecfb13c6560e4aadb2027ab9391ae9a98e9041fd29	One who [[ride]]s [[racehorse]]s competitively.
8852	j.r.	mourn	10138	2453	38108	91447408	2026-07-01T23:35:58Z	Verb	96e6907a83ba2615c85b48578e3e5f4023dd382cff14573da736f829919f2cf1	{{lb|en|ambitransitive}} To express [[sadness]] or [[sorrow]] for; to [[grieve]] over (especially a death).
8893	'in	intercom	10139	2453	212157	91248479	2026-06-15T02:26:00Z	Noun	b4a594c9322e148faa7875c74a81d8576dc10191639c79fb7cb384936aa2ffe9	An [[independent]], [[telephonic]] [[communication]] [[system]], set up around and throughout a [[building]], [[complex]], or [[residence]], typically for [[access control]].
8920	w-what	penthouse	10141	2452	231817	91330631	2026-06-19T12:34:19Z	Noun	a7a1a8eebcf0109de7119c4d59c50dd4a573c7fbda192b048acd99a638858107	{{lb|en|now|historical}} A [[structure]] or annexe (especially one with a sloping roof) extending from the side of a [[building]], sometimes as protection from the weather. {{defdate|from 14th c.}}
8949	nköö	ginny	10144	2451	508614	91405282	2026-06-28T02:42:22Z	Adjective	9c80154a71318303d30c9562e3779c059a38b16d0ee3f14a6afb75aef2f823d3	Affected by [[gin]]; resembling or characteristic of [[gin]].
8950	you-you	quack	10145	2451	4311	91038166	2026-06-01T16:56:45Z	Noun	df944d92265fdd665d305d86ccef69fd7baa77a96f08bb1017cdb50c7025d62f	The [[vocalisation]] made by a [[duck]].
9062	buenos	peck	10146	2450	62357	91624422	2026-07-16T11:15:03Z	Verb	1fed2215cb86438faed6545d1f16856184026042c2cc5624434f9b959105edef	{{lb|en|ambitransitive}} To [[strike]] or [[pierce]] with the [[beak]] or [[bill]] (of a [[bird]]).
9184	not-	gospel	10147	2450	65705	91587338	2026-07-13T12:19:09Z	Noun	e90ca04d15740da4ff8badfb38a83b7bb5c2b15762da1c4c0d0ea16e941ccab0	The first section of the Christian [[New Testament]] scripture, comprising the books of [[w:Gospel of Matthew|Matthew]], [[w:Gospel of Mark|Mark]], [[w:Gospel of Luke|Luke]] and [[w:Gospel of John|John]], concerned with the birth, ministry, passion, and resurrection of Jesus.
9223	runnin	presumably	10149	2449	613140	89287787	2026-01-20T16:16:34Z	Adverb	8c271edd80bc04ee67e4dfd149fe834d55a96c78963a7c8074adf636d3132a55	Able to be [[sensibly]] [[presumed]].
9272	know.	hyung	10151	2448	10158247	80992938	2024-08-10T00:36:48Z	Noun	20c1f59964001f38584ab062677b95bd5f974613de32bbff0e9d18cd2979d230	{{lb|en|South Korean idol fandom}} An [[older]] male member of an [[idol]] [[group]].
9285	jarod	assumption	10153	2448	61301	91124274	2026-06-07T22:41:44Z	Noun	3e034d31396c0de6fec98907a6a1cb45c3176c36211e319b0f113aa060fa1039	The act of [[assume|assuming]], or taking to or upon oneself; the act of [[take up|taking up]] or [[adopt]]ing.
9306	'neill	hugging	10155	2447	338785	87238090	2025-09-29T19:54:01Z	Noun	75cd4c2aeb9cc3360ec553f8900a6edaf4de72c9d196b7542cd3abc239caf8b9	The act of giving a [[hug]].
9311	cctv	sideways	10156	2447	61217	91638996	2026-07-18T00:59:47Z	Adjective	1abc624107ab5339a54522aae35df1295a3dd3764b7d9b00a86d0bc5a5471828	[[move|Moving]] or [[directed]] toward one [[side]].
9313	darlin	jaws	10162	2445	204795	81023204	2024-08-12T15:13:52Z	Noun	c2d68bbfb9b9b8d5efabafd08dc83d7804f9d9ae65bc27861a6adca5c7136ec2	{{lb|en|pluralonly}} The [[mouth]].
9345	'this	troll	10163	2444	62817	91516207	2026-07-07T07:10:38Z	Noun	18a700fd1237c6afd8359f73733b337319374c3dbb53c3aa6898bd279b3b13ed	{{senseid|en|Q12581}}{{lb|en|originally|Scandinavian|_|mythology|now|also|European folklore|and|fantasy}} a [[giant#Adjective|giant]] [[supernatural#Adjective|supernatural]] [[being#Noun|being]], especially a [[grotesque#Adjective|grotesque]] [[humanoid#Adjective|humanoid]] [[creature]] [[live#Verb|living]] in [[cave#Noun|caves]] or [[hill#Noun|hills]] or under [[bridge#Noun|bridges]]. {{defdate|from early 17th c.}}
9404	por	squid	10164	2444	4870	91388405	2026-06-26T07:48:11Z	Noun	0f3d0e8a576e984d677628ad231003c73af64089640ae23732271f40b54c3183	{{senseid|en|Q81900}}Any of several [[carnivorous]] [[marine]] [[cephalopod]] [[mollusk]]s, of the order {{taxfmt|Teuthida|order}}, having a [[mantle]], eight arms, and a pair of [[tentacle]]s
9419	'that	mushroom	10166	2444	36755	91428910	2026-06-30T12:21:10Z	Noun	1767d7ce8c8329cd6f7482c350a0cc1ae623e17016b4a02523176036dec5762d	{{senseid|en|Q83093}} Any of the fleshy [[fruiting body|fruiting bodies]] of [[fungus|fungi]] typically produced above ground on soil or on their food sources (such as decaying wood).
9488	right.	freeway	10167	2443	6277	90932440	2026-05-24T23:44:53Z	Noun	73c6b52b3cb4fa009dba307a31bf3a02d5b0b561a5738a8e9a23db2871a511f8	{{lb|en|US|Parts of|_|Canada|_|and|_|Australia}} A [[highway]] with [[grade-separated]] [[crossing]]s (rather than [[level crossing]]s) and designed (and only permitted) for [[high-speed]] motor-[[traffic]] running in two directions on one separate [[carriageway]] each
