synset	en	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
	your	milikmu	tu	votre	seu	yako	dein	твой	你的	あなたの	الخاص بك	आपका	senin
02560585-v	do	berbuat	hacer	effectuer	fazer	fanya	tun	делать	作	やらかす	عمِل	करो	yap
02604760-v	was	adalah	ser	être	ser	ilikuwa	sein	быть	是	ではある	كان	होना	öyleydi
	'm	'm	soy	je suis	estou	'm	bin	я	我	私	'م	'एम	ben
02268485-a	no	bukan	ningún	non	não	hapana	Nein	нет	没	不	لا	नहीं	hayır
00024073-r	not	bukan	no	pas	não	sivyo	nicht	не	不	ではない	لا	नहीं	değil
02604760-v	be	adalah	ser	être	ser	kuwa	sein	быть	是	ではある	كان	होना	olmak
13613862-n	are	are	estás	are	são	ni	Ar	ар	公亩	アール	هي	हैं	ar
00050652-v	don	memakai	llevar	porter	trazer	kuvaa	tragen	носить	穿	着る	لبس	पहनना	giymek
	're	kembali	eres	es	você é	're	Bist	ты	是	ですよ	إعادة	'रे	yeniden
00594621-v	know	kenal	saber	connaître	conhecer	kujua	wissen	уметь	懂	分かる	فهم	पता है	bilmek
02946921-n	can	kaleng	lata	bidon	lata	mkebe	Dose	бидон	罐头	缶	صفيحة	कर सकते हैं	kutu
	with	dengan	con	avec	com	na	mit	с	与	と	مع	के साथ	ile
00004722-r	but	baru	sólo	juste	só	lakini	einfach	только	就	只	فقط	ज़रा	sadece
02269286-a	all	segala	todo	tout	tudo	zote	alle	все	一切	すべて	الكل	सब	hepsi
00146594-r	so	begitu	tan	tellement	então	hivyo	also	очень	所以	それはそれは	هكذا	तो	yani
00004722-r	just	baru	sólo	juste	só	tu	einfach	только	就	只	فقط	ज़रा	sadece
00109151-r	there	ada	allá	là-bas	lá	hapo	dort	там	那里	あそこで	هناك	वहाँ	orada
00108479-r	here	di sini	aquí	ici	aqui	hapa	hier	здесь	这里	是に	هنا	यहाँ	burada
	they	mereka	ellos	ils	eles	wao	sie	они	他们	彼らは	هم	वे	onlar
01824736-v	like	bagai	aspirar	vouloir	gosto	kama	wie	нравится	喜欢	好く	أراد	जैसे	beğen
	'll	akan	lo haré	je vais	vou	'll	Werde	буду	会	するよ	سوف	'मैं	yapacağım
02210855-v	get	memahirkan	adquirir	acquérir	adquirir	pata	erwerben	получить	取得	得る	حصل على	प्राप्त करें	almak
	she	dia	ella	elle	ela	yeye	sie	она	她	彼女	هي	वह	o
01835496-v	go	pergi	ir	aller	ir	gura	gehen	ходить	去	行く	ذهب	जाना	gitmek
	if	jika	si	si	se	ikiwa	wenn	если	如果	もし	إذا	यदि	eğer
05174653-n	right	hak	derecho	droit	direito	haki	Recht	право	对	権	حقّ	ठीक है	hak
00232862-r	out	keluar	fuera	dehors	fora	nje	raus	из	出	不在で	خارج	बाहर	dışarı
00007015-r	about	beberapa	alrededor	environ	aproximadamente	kuhusu	ungefähr	почти	大约	およそ	حوالي	के लगभग	hakkında
00096333-r	up	mendaki	arriba	en haut	para cima	juu	auf	вверх	向上	上向きに	فوق	ऊपर	yukarı
14629561-n	at	astatin	astato	astate	astato	saa	Astat	астат	砹	アスタチン	أستاتين	लावणी	astat
	him	dia	el	lui	ele	yeye	ihn	он	他	彼	له	उसे	o
00049433-r	now	kini	ahora	maintenant	agora	sasa	jetzt	сейчас	现在	今にして	الآن	अभी	şimdi
09130076-n	oh	Buckeye State	Ohio	Ohio	ah	oh	oh	Огайо	俄亥俄	オハイオ	أوهايو	ओहायो	Ohio
02186338-a	one	satu	un	10	um	moja	eins	один	一	1つ	واحد	एक	bir
01849221-v	come	datang	venir	venir	vir	kuja	kommen	приходить	来	来る	جاء	आना	gelmek
00011093-r	well	baik	bueno	alors	bem	vizuri	Naja	ну	嗯	よく	حسنا	अच्छा	peki
	her	dia	ella	elle	ela	yake	sie	она	她	彼女の	لها	उसे	onun
	how	bagaimana	como	comment	como	jinsi gani	wie	как	如何	どうやって	كيف	कैसे	nasıl
00497560-r	yeah	tapi	sí	ouais	sim	ndio	ja	да	是的	そうだね	نعم	हाँ	evet
	've	sudah	he	ai	já	've	Habe	у меня есть	已经	やった	لقد	'वे	var
05652593-n	will	kerelaan	voluntad	volonté	vontade	mapenzi	Wille	воля	意志	意志	رغبة	इच्छा	irade
02210855-v	got	memahirkan	adquirir	acquérir	adquirir	nimepata	erwerben	получил	取得	得る	حصل على	मिल गया	var
01825237-v	want	hasrat	querer	vouloir	querer	ari	wollen	хотеть	要	欲しい	أراد	चाहना	istemek
00689344-v	think	bersangka	pensar	penser	pensar	fikiri	denke	думать	认为	考える	ظن	सोचना	sanmak
00022131-r	as	kayak	como	quand	como	kama	als	как	作为	同様	كما	जैसे	olarak
02129289-v	see	lihat	ver	voir	ver	ona	sehen	видеть	见	見る	رأى	देखना	görmek
02560585-v	did	berbuat	hacer	effectuer	fez	alifanya	tat	сделал	作	やらかす	عمِل	किया	yaptım
01123148-a	good	baik	bueno	bon	bom	mzuri	gut	хороший	好	良い	حسن	अच्छा	iyi
08302724-n	who	siapa	OMS	OMS	quem	nani	wer	ВОЗ	谁	誰	من	कौन	kim
09179606-n	why	mengapa	porqué	pourquoi	porquê	kwa nini	warum	причина	为什么	何故	لماذا	क्यों	neden
	from	dari	de	de	de	kutoka	von	из	来自	から	من	से	itibaren
02423183-v	let	izin	permitir	permettre	deixe	vibali	erlauben	позволять	允许	許可	أذن	चलो	izin ver
	his	miliknya	su	son	dele	yake	sein	его	他的	彼の	له	उसका	onun
07203900-n	yes	jadi	sí	oui	sim	ndio	ja	да	是的	肯定的な返答	نعم	हाँ	evet
	when	kapan	cuando	quand	quando	lini	wann	когда	当	いつ	متى	कब	ne zaman
00042757-n	going	pergi	salida	départ	partida	kwenda	Abfahrt	отправление	出发	出発	رحيل	जा रहा हूँ	gidiyor
07309599-n	time	jam	vez	fois	vez	wakati	Mal	раз	次	回	مرة	बार	kere
06698150-n	an	An	diplomado en enfermería	à	um	na	ein	а	护理专业的大专文凭	の	ان	एक	bir
02081114-a	okay	elok	bien	aller	ok	sawa	okay	окей	令人满意+的	よろしい	حسنا	ठीक है	tamam
00075161-r	back	balik	atrás	dos	de volta	nyuma	zurück	назад	回来	元の場所に	العودة	वापस	geri
02130524-v	look	kelihatan	mirar	regarder	olhar	angalia	sehen	смотреть	看	見る	نظر	देखना	bakmak
09044862-n	us	Amerika Serikat	Estados Unidos de América	États-Unis d'Amérique	Estados Unidos da América	Muungano wa Madola ya Amerika	Vereinigte Staaten von Amerika	Соединённые Штаты Америки	美利坚合众国	米国	الولايات المتحدة الأمريكية	संयुक्त राज्य अमरीका	Amerika Birleşik Devletleri
	would	akan	haría	serait	faria	ingekuwa	würde	бы	会	するだろう	سوف	होगा	olurdu
	them	mereka	ellos	eux	eles	yao	sie	они	他们	彼ら	لهم	उन्हें	onlar
	where	dimana	donde	où	onde	wapi	wo	где	哪里	どこで	أين	कहाँ	nerede
02604760-v	were	adalah	ser	être	ser	walikuwa	sein	быть	是	ではある	كان	होना	vardı
02599636-v	take	berhasil	tomar	prendre	pegue	kuchukua	nehmen	взять	实行	為す	خذ	ले लो	Al
00117620-r	then	jadi	luego	puis	depois	basi	dann	затем	接著	それから	ثم	फिर	o zaman
02203362-v	had	memegang	detentar	posséder	tinha	alikuwa	hatte	имел	占有	持っている	ملك	था	vardı
09133010-n	or	Beaver State	Oregón	Orégon	Oregon	au	Oregon	Орегон	奥勒冈	オレゴン	أوريغون	औरिगन	Oregon
02604760-v	been	adalah	ser	être	ser	imekuwa	sein	быть	是	ではある	كان	होना	oldu
	our	milik kita	nuestro	notre	nosso	wetu	unsere	наш	我们的	私たちの	لدينا	हमारा	bizim
	gonna	akan	va a	je vais	vou	nita	werde	собираюсь	会	するつもり	ستعمل	वाला	yapacağım
01009240-v	tell	berkata	decir	dire	dizer	sema	sagen	говорить	说	言う	قال	कहना	söylemek
00037226-r	really	benar	realmente	sincèrement	realmente	kweli	wirklich	действительно	真的	まことに	حقّاً	वास्तव में	gerçekten
10287213-n	man	pria	varón	homme	homem	mtu	Mann	мужчина	男人	男性	رجل	आदमी	adam
02267308-a	some	beberapa	algo	certain	alguns	baadhi	einige	некоторые	一些	いくらか	بعض	कुछ	bazıları
01009240-v	say	berkata	decir	dire	dizer	sema	sagen	говорить	说	言う	قال	कहना	söylemek
	hey	hei	oye	hé	ei	hujambo	hallo	эй	嘿	おい、	مهلا	अरे	selam
	could	bisa	podría	pourrait	poderia	inaweza	könnte	мог бы	可以	できるかもしれない	يمكن	सकता है	olabilir
	'd	'd	'd	'd	'd	'd	würde	бы	'd	した	د	'डी	'd
	didn	tidak	lo hizo	est-ce que	não	alifanya	tat es	не сделал	没有	しませんでした	لم يفعل ذلك	किया	yapmadı
00417787-r	by	dengan	por	passé	por	kwa	von	по	经过	通り越して	بواسطة	द्वारा	tarafından
02627934-v	need	berhasil	requerir	demander	preciso	haja	brauchen	требовать	必要	必要	اِشترط	जरुरत	gerektirmek
	something	sesuatu	algo	quelque chose	alguma coisa	kitu	etwas	что-то	某事	何か	شيئا	कुछ	bir şey
02203362-v	has	memegang	detentar	posséder	tem	ina	hat	имеет	占有	持っている	ملك	है	var
00047392-r	too	begitu	demasiado	trop	demais	pia	zu	слишком	太	過ぎ	مفرط	बहुत	çok
00099341-r	more	lebih	más	plus	mais	zaidi	mehr	более	更	もっと	المزيد	ज़्यादा	daha fazla
04928903-n	way	stail	moda	mode	estilo	njia	Mode	мода	样式	様式	أسلوب	रास्ता	yol
00095320-r	down	cengkeram	abajo	à bas	juso	chini	runter	вниз	下	下	تحت	नीचे	aşağı
02560585-v	make	berbuat	hacer	effectuer	fazer	tengeneza	machen	сделать	作	やらかす	عمِل	बनाओ	yapmak
00031899-r	very	sangat	muy	très	muito	sana	sehr	очень	很	とても	جدا	बहुत	çok
00020759-r	never	tidak pernah	nunca	jamais	nunca	kamwe	nie	никогда	从未	決して	أبدا	कभी नहीं	asla
00004722-r	only	baru	sólo	juste	só	pekee	einfach	только	就	只	فقط	ज़रा	sadece
07942152-n	people	kalangan	gente	gens	pessoas	watu	Leute	люди	人们	人々	ناس	लोग	halk
00226550-r	over	berakhir	encima	encore	de novo,	juu	vorbei	закончилось	结束	終わった	انتهى	खत्म	tekrar
	because	karena	porque	parce que	porque	kwa sababu	weil	потому что	因为	なぜなら	لان	क्योंकि	çünkü
01391351-a	little	kecil	pequeño	petit	pequeno	mdogo	klein	маленький	小	小さい	صغير	छोटा	küçük
01815628-v	please	mengempenak	agradar	s'il te plaît	por favor	tafadhali	Bitte	пожалуйста	使满意	喜ばせる	سرّ	कृपया	lütfen
01775164-v	love	bercinta	hacer el amor	faire l'amour	amar	upendo	Liebe	спать	做爱	いとおしがる	هوِي	प्यार	sevişmek
	should	seharusnya	debería	devrait	deveria	lazima	sollte	должен	应该	すべきです	ينبغي	चाहिए	yapmalı
00955148-v	mean	beragan	significar	signifier	querer dizer	maana	bedeuten	значить	意味	意味	عنى	मतलब	demek
02068730-a	said	kata	mencionado	susmentionné	disse	alisema	sagte	вышеупомянутый	上述	言った	قال	कहा	dedi
01150475-a	sorry	bersimpati	lo siento	mal	desculpe	samahani	Entschuldigung	извини	抱歉	口おしい	آسف	क्षमा करें	üzgünüm
02316868-v	give	berikan	causar	donner	dar	kutoa	geben	дать	引起	与える	أعْطى	देना	vermek
00232936-r	off	jauh	fuera	loin	embora	imezimwa	fort	прочь	关闭	去って	بعيدا	बंद	kapalı
14628494-n	am	amerisium	americio	américium	amerício	am	Americium	америций	镅	アメリシウム	أمريكيوم	हूँ	amerikyum
00892315-v	thank	berterima kasih	agradecer	remercier	agradecer	asante	danken	благодарить	感谢	感謝	شكر	धन्यवाद देना	teşekkür etmek
02267686-a	any	apa saja	absoluto	peu importe	de forma alguma	yoyote	überhaupt	в любом случае	任何	どれでも	أي	कोई भी	herhangi biri
02186470-a	two	dua	2	1	dois	mbili	zwei	два	两个	2つ	اثنان	दो	iki
00017445-r	even	bahkan	incluso	même	mesmo	hata	sogar	даже	连	さえ	حتى	और भी	bile
01553629-a	much	banyak	mucho	maint	muito	sana	viel	много	很多	ぎょうさん	كثيرا	बहुत	çok
	doing	melakukan	haciendo	faire	fazendo	kufanya	tun	делаю	做	やってる	القيام	कर रहा हूँ	yapıyor
00336831-a	sure	keruan	cierto	certain	certo	hakika	sicher	уверенный	肯定	確か	أكيد	ज़रूर	kesin
13943968-n	thing	barang	cosa	chose	coisa	jambo	Sache	вещь	局面	こと	شأْن	बात	şey
	these	ini	estos	ces	estes	haya	diese	эти	这些	これらの	هذه	ये	bunlar
02547586-v	help	bantu	ayudar	aider	ajudar	kusaidia	helfen	помогать	帮助	助ける	ساعد	मदद करना	yardım etmek
01010862-a	first	pertama	primero	premier	primeiro	ya kwanza	erster	первый	第一	第一	أول	पहला	birinci
	into	ke dalam	en	dans	em	ndani	hinein	в	进入	に	في	में	içine
	anything	apa pun	cualquier cosa	n'importe quoi	qualquer coisa	chochote	irgendetwas	что-нибудь	任何东西	何か	أي شيء	कुछ भी	herhangi bir şey
00031304-r	still	masih	todavía	encore	ainda	bado	noch	ещё	还	まだ	لا يزال	अभी भी	hâlâ
02248465-v	find	berlaku	encontrar	trouver	achar	tafuta	finden	находить	找到	見つける	وجد	पाना	bulmak
13963192-n	life	hidup	vida	vie	vida	uhai	Leben	жизнь	生命	生存	حياة	ज़िंदगी	hayat
13740168-n	nothing	tiada	cero	que dalle	zero	hakuna kitu	Null	ни черта	什么也没有	何も	صِفْر	कुछ नहीं	hiç
10601451-n	sir	baik	señor	monsieur	senhor	bwana	Herr	товарищ	先生	ムッシュー	سيِّد	महोदय	komutanım
15155220-n	day	hari	día	jour	dia	siku	Tag	сутки	天	日	يوم	दिन	gün
09536058-n	god	Allah	Dios	Dieu	Deus	Allah	Gott	Бог	上帝	ゴッド	الله	ईश्वर	Tanrı
00575741-n	work	kerja	trabajo	travail	trabalho	kazi	Arbeit	работа	工作	ワーク	شُغْل	काम	emek
	their	mereka	su	leur	seu	zao	ihr	их	他们的	彼らの	بهم	उनके	onların
	uh	eh	eh	euh	ah	uh	Äh	эээ	呃	ああ	اه	उह	ah
00040365-r	again	lagi	otra vez	de nouveau	de novo	tena	erneut	опять	再	又	مرة أخرى	फिर	yeniden
00300247-r	maybe	mungkin	quizá	peut-être	talvez	labda	vielleicht	возможно	也许	多分	ربما	शायद	belki
09363970-n	must	harus	debe	moût	deve	lazima	muss	должен	必须	しなければならない	يجب	अवश्य	zorunluluk
00060939-r	before	berasal	antes de	avant	antes	kabla	zuvor	раньше	之前	かつて	من قبل	पहले	önce
02069355-a	other	lain	otro	autre	outro	nyingine	andere	другой	其他+的	他し	أخرى	अन्य	diğer
02637938-v	wait	menangguhkan	aguardar	attendre	espere	subiri	warte	подожди	等	待つ	اِنْتظر	रुको	bekle
01860795-v	stop	mandek	parar	arrêter	parar	acha	anhalten	останавливаться	停	止まる	توقف	रुकना	durmak
01028748-v	call	nama	nombrar	nommer	nomear	jina	nennen	называть	命名	名付ける	سمى	कहना	adlandırmak
00061203-r	after	beka	después	après	depois	baada	hinterher	после	然后	その後	أخير	बाद	sonradan
13709360-n	won	Won Korea Selatan	won	won	ganhou	alishinda	gewonnen	выиграл	圆	ウォン	فاز	जीता	kazandı
00962447-v	talk	berbicara	dialogar	discuter	falar	kuzungumza	reden	говорить	谈话	おしゃべり+する	تحدّث	बात करो	konuşmak
00232936-r	away	jauh	fuera	loin	embora	mbali	fort	прочь	离开	去って	بعيدا	दूर	uzakta
	than	dari	que	que	do que	kuliko	als	чем	比	よりも	من	से	daha
05833840-n	thought	pikir	pensamiento	idée	pensamento	dhana	Gedanke	мысль	思想	考え	فكر	विचार	düşünce
00097840-r	home	balik	casa	à la maison	casa	nyumbani	daheim	дома	在家里	家	المنزل	घर पर	evde
15167027-n	night	malam	noche	nuit	noite	usiku	Nacht	ночь	夜晚	夜	ليلة	रात	gece
01494310-v	put	memasang	poner	placer	pôr	weka	setzen	класть	放	置く	وضع	रखना	koymak
01386883-a	great	besar	grande	grand	ótimo	kubwa	großartig	отлично	巨大+的	おっきい	عظيم	बढ़िया	harika
	those	itu	esos	ceux	aqueles	hizo	jene	те	那些	それらの	هؤلاء	वो	bunlar
01730329-a	last	terakhir	último	dernier	último	mwisho	letzter	последний	最后	この前の	الاخير	पिछला	sonuncu
00230335-a	better	lebih baik	mejor	meilleur	melhor	bora	besser	лучше	比较好的	もっといい	أفضل	बेहतर	daha iyi
	everything	semuanya	todo	tout	tudo	kila kitu	alles	все	一切	すべて	كل شيء	सब कुछ	her şey
01009240-v	told	berkata	decir	dire	dizer	aliiambia	sagen	говорить	说	言う	قال	कहना	söylemek
06341340-n	mr.	encik	Señor	seigneur	Sr.	Bw.	Herr.	г-н	先生。	-氏	السيد.	श्रीमान	Bay
01640850-a	new	baru	nuevo	nouveau	novo	-pya	neu	новый	新	新しい	جديد	नया	yeni
13246332-n	things	hal	cosas	affaire	coisas	mambo	Dinge	вещи	动产	所持品	أشْياء	चीज़ें	şeyler
00019339-r	always	jemah	siempre	toujours	sempre	mara kwa mara	immer	всегда	总是	いつも	دائما	हमेशा	her zaman
02681795-v	keep	jaga	conservar	maintenir	manter	weka	behalten	держать	使保持某状态	キープ+する	أبْقى	रखना	tutmak
01437963-a	long	berlanjutan	largo	long	longo	ndefu	lang	долгий	久	長い	طويل	लम्बा	uzun
15153787-n	years	orang tua	tercera edad	troisième âge	idade	umri	Alter	старость	年老	老齢	شيْخُوخة	साल	yaşlılık
02009433-v	leave	angkat kaki	irse	partir	sair	kuondoka	weggehen	уходить	离开	去る	ابتعد	छोड़ो	ayrılmak
	does	tidak	hace	fait	faz	hufanya	tut	делает	确实	します	يفعل	करता है	yapar
13384557-n	money	duit	dinero	argent	dinheiro	pesa	Geld	деньги	货币	ちゃんころ	عُمْلة	पैसा	para
00071165-r	around	lebih kurang	alrededor	environ	ao redor	karibu	herum	вокруг	周围	あたりに	حولها	चारों ओर	etrafında
	doesn	tidak	no	ne	não	haina	tut	не делает	不	しない	لا	नहीं	yapmaz
06333653-n	name	nama	nombre	nom	nome	jina	Name	имя	名	名前	اسم	नाम	ad
01494310-v	place	memasang	poner	placer	pôr	mahali	setzen	класть	放	置く	وضع	रखना	koymak
00146387-r	ever	jemah	alguna vez	jamais	sempre	milele	jemals	когда-либо	曾经	これまでに	من أي وقت مضى	कभी	hiç
01771535-v	feel	mengalami	sentir	sentir	sentir	kuhisi	fühlen	чувствовать	感到	感じる	شعر	महसूस करना	hissetmek
	guys	teman-teman	chicos	les gars	pessoal	wavulana	Jungs	ребята	伙计们	みんな	يا شباب	दोस्तों	beyler
10080869-n	father	bapa	padre	père	pai	baba	Vater	отец	父亲	お父さん	أب	पिता	baba
10621140-n	guy	pria	chico	mec	cara	kijana	Kerl	парень	家伙	男	غي	लड़का	adam
00672785-a	made	dibuat	manufacturado	fait	feito	kufanywa	gemacht	сделал	制作	作られた	صنع	बनाया	yapılmış
01643620-a	old	berumur	anciano	vieux	velho	mkongwe	alt	старый	老	年老いた	كبير السن	बूढ़ा	yaşlı
08344301-n	isn	adalah	International Relations and Security Network	est-ce que	não é	si	istn	нет	是	ではありません	ليس	है	öyle
	which	yang mana	cual	lequel	qual	ambayo	welche	который	其中	どの	الذي	जो	hangisi
01382086-a	big	besar	grande	grand	grande	-kubwa	groß	большой	大	大きい	كبير	बड़ा	büyük
13774404-n	lot	kelompok	avalancha	paquet	muito	mengi	Menge	куча	书库	束	الكثِيْر	बहुत	çok
01003536-a	done	habis	listo	fini	feito	kufanyika	erledigt	сделано	完成	完了しました	تم	हो गया	bitti
06632511-n	hello	halo	buenos días	bonjour	olá	habari	Hallo	привет	你好	こんにちは	مرحبا	नमस्ते	merhaba
01586342-a	nice	afdal	agradable	agréable	legal	nzuri	schön	приятно	令人快乐+的	きれい	لطيف	अच्छा	güzel
00683280-v	believe	beranggapan	creer	croire	acreditar	amini	glauben	верить	相信	信じる	اعتقد	विश्वास करो	inanmak
10129825-n	girl	anak dara	señorita	mademoiselle	senhorita	msichana	Fräulein	мисс	女孩	ヤングレディー	آنسة	लड़की	kız
00007846-n	someone	orang	persona	personne	pessoa	mtu	Person	человек	人	人	شخص	मनुष्य	kişi
02081114-a	fine	elok	bien	aller	tudo bem	sawa	gut	хорошо	令人满意+的	よろしい	غرامة	ठीक है	iyi
07228971-n	thanks	terima kasih	gracias	merci	obrigado	asante	Danke	благодарность	感谢	御礼	شُكْر	धन्यवाद	teşekkürler
02526925-a	wanted	diinginkan	apetecido	recherché	queria	alitaka	wollte	хотел	受通缉+的	欲しかった	مطْلُوب	चाहता था	aranıyor
05839024-n	kind	bagai	género	genre	tipo	aina	Art	добрый	类	種類	نوع	तरह	tür
01732601-a	coming	mendekati	inmediato	prochain	próximo	kuja	bevorstehend	предстоящий	即将到来的	来たる	قادم	आ रहा है	geliyor
03544360-n	house	rumah	casa	maison	casa	nyumba	Haus	дом	房屋	家	بيت	घर	ev
02269794-a	every	setiap	cada	chaque	cada	kila	jeder	каждый	每一+的	有らゆる	كل	प्रत्येक	her
00053004-r	ok	oke	bien	bien	ok	faini	ok	окей	好的	よろしい	حسنا	ठीक है	tamam
00478821-r	through	melalui	a través de	à travers	através	kupitia	durch	через	通过	ひととおり	من خلال	के माध्यम से	aracılığıyla
13954253-n	being	keberadaan	existencia	existence	existência	kuwa	Existenz	существование	存在	存在	كيان	अस्तित्व	varlık
00884466-n	course	kelas	curso	cours	curso	darasa	Unterricht	курс	课	授業	دورة	क्लास	kurs
00117985-v	stay	beristirahat	mantenerse	rester	ficar	kukaa	bleiben	оставаться	留	とどまる	ظلّ	रहना	kalmak
02032953-a	left	kiri	izquierdo	gauche	esquerdo	kushoto	link	левый	左	左	يسار	बायां	sol
09988063-n	dad	pak	papá	papa	papá	baba	Vati	папа	爸爸	お父さん	بابا	बाप	baba
00145713-r	enough	cukup	suficientemente	suffisamment	o suficiente	kutosha	genug	достаточно	足够	十分	تمام	काफ़ी	yeterli
	happened	terjadi	sucedió	arrivé	aconteceu	kilichotokea	ist passiert	случилось	发生了	起こった	حدث	हुआ	oldu
01849221-v	came	datang	venir	venir	vir	kuja	kommen	приходить	来	来る	جاء	आना	gelmek
15211484-n	may	mei	mayo	mai	maio	Mei	Mai	май	五月	五月	مايو	मई	mayıs
10332385-n	mother	ibu	madre	mère	mãe	mzazi	Mutter	мать	母亲	母	أم	माता	anne
00632438-a	wrong	salah	incorrecto	faux	errado	vibaya	falsch	неправильный	不对	間違う	خطأ	ग़लत	yanlış
09466280-n	world	dunia	mundo	monde	mundo	ulimwengu	Welt	мир	世界	世界	عالم	दुनिया	dünya
01125429-a	bad	buruk	mal	mal	ruim	mbaya	schlecht	плохой	坏	まずい	سيئة	ख़राब	kötü
05030680-n	might	kekuatan	potencia	puissance	força	nguvu	Kraft	сила	力量	力	قوة	शक्ति	güç
02186580-a	three	tiga	3	10	três	tatu	drei	три	三	3つ	ثلاثة	तीन	üç
15262921-n	today	hari ini	hoy	actuellement	hoje	leo	heute	сегодня	在今天	今どき	العصْر الحاضِر	आज	bugün
02169891-v	listen	dengar	escuchar	écouter	escutar	sikiza	hören	слушать	听	聞く	أصغى	सुनना	dinlemek
02070188-a	another	yang lain	otra	autre	outro	mwingine	ein anderer	другой	不同+的	別	آخر	दूसरा	başka biri
00588888-v	understand	paham	entender	comprendre	compreender	elewa	verstehen	понимать	明白	分かる	فهم	समझना	anlamak
02169702-v	hear	dengar	oír	entendre	ouvir	sikia	hören	слышать	听见	聞く	سمع	सुनना	duymak
00607780-v	remember	ingat	acordar	se rappeler	lembrar-se	kumbuka	erinnern	вспоминать	记得	思い出す	تذكر	याद करना	hatırlamak
00752493-v	ask	minta	pedir	demander	pedir	kuomba	bitten	просить	请	頼む	طلب	पूछना	dilemek
01768724-a	own	tersendiri	propio	propre	próprio	kumiliki	eigen-	свой	自己	自身	ملك	अपना	kendi
02068476-a	same	sama	mismo	même	mesmo	sawa	gleich	то же самое	同样+的	おんなし	ذاته	वही	aynı
02148788-v	show	berdemonstrasi	demostrar	exposer	mostrar	onyesha	zeigen	показать	展出	上映+する	أظْهر	दिखाओ	göstermek
	else	yang lain	otra cosa	sinon	mais	mwingine	sonst	еще	否则	それ以外の場合	آخر	अन्यथा	başka
01323958-v	kill	membunuh	matar	tuer	matar	kuua	töten	убивать	杀死	殺す	قتل	मार डालना	öldürmek
07135734-n	talking	perbualan	charla	discours	falando	kuzungumza	reden	говорить	交谈	会話	الحديث	बात कर रहे हैं	konuşuyor
02427103-v	found	diri	establecer	établir	estabelecer	kupatikana	eröffnen	учреждать	创办	もうける	أحْدث	पाया	yerleştirmek
00127948-a	next	berikut	siguiente	prochain	próximo	ijayo	nächster	следующий	下一个	次	تال	अगला	ertesi
00041899-n	getting	menduduki	adquisición	obtention	recebendo	kupata	bekommen	получение	得到	入手	إِحْراز	मिल रहा है	almak
01822936-v	care	mengambil berat	importar	soucier	cuidado	kujali	sorgen	беспокоиться	关心	構う	اهتم	देखभाल	umrunda olmak
02958343-n	car	mobil	automóvil	voiture	carro	gari	Auto	машина	汽车	車	سيارة	गाड़ी	araba
01874886-a	looking	mencari	mirando	regardant	olhando	kuangalia	suchen	смотрю	寻找	探している	أبحث	देख रहे हैं	bakıyor
10624074-n	son	putra	hijo	fils	filho	mwana	Sohn	сын	儿子	息子	ابن	बेटा	oğul
02530167-v	try	upaya	intentar	tenter	tentar	jaribu	versuchen	пытаться	尝试	試みる	حاول	कोशिश करना	denemek
10787470-n	woman	perempuan	mujer	femme	mulher	mwanamke	Frau	женщина	妇女	女の人	امرأة	औरत	kadın
01835496-v	went	pergi	ir	aller	ir	gura	gehen	ходить	去	行く	ذهب	जाना	gitmek
